X座標,Y座標,施設名（施,EOF
34.62823181,135.5548136,杭全神社（くまたじんじゃ）,EOF
34.62903158,135.5553398,平野環濠跡（ひらのかんごうあと）,EOF
34.65140792,135.549576,生野区花づくり広場（いくのくはなづくりひろば）,EOF
34.66601103,135.3916501,新夕陽ヶ丘（しんゆうひがおか）,EOF
34.66627739,135.4066111,舞洲工場・舞洲スラッジセンター（まいしまこうじょう・まいしますらっじせんたー）,EOF
34.66922681,135.406283,舞洲工場・舞洲スラッジセンター（まいしまこうじょう・まいしますらっじせんたー）,EOF
34.6665105,135.4139191,此花大橋（このはなおおはし）,EOF
34.66600808,135.4316418,ユニバーサル・スタジオ・ジャパン（ゆにばーさる・すたじお・じゃぱん）,EOF
34.67416494,135.4091531,大阪北港マリーナ（おおさかほっこうまりーな）,EOF
34.6642825,135.4571387,桜通り（さくらどおり）,EOF
34.6642825,135.4571387,桜通り（）,EOF
34.66774694,135.4585717,大阪市立港図書館（おおさかしりつみなととしょかん）,EOF
34.66730511,135.4742671,旧岩崎運河（きゅういわさきうんが）,EOF
34.66976911,135.462414,交通科学博物館（こうつうかがくはくぶつかん）,EOF
34.67155258,135.4799332,大阪アドプト・リバー・千代崎（木津川右岸）（おおさかあどぷと・りばー・ちよざき（きづがわうがん）））,EOF
34.66903731,135.476138,京セラドーム大阪（きょうせらどーむおおさか）,EOF
34.66893978,135.4813864,道頓堀川水門（どうとんぼりがわすいもん）,EOF
34.67563989,135.4561375,安治川水門（あじがわすいもん）,EOF
34.68593317,135.4569527,大阪市立此花図書館（おおさかしりつこのはなとしょかん）,EOF
34.67878658,135.4721785,島谷家住宅（しまたにけじゅうたく）,EOF
34.67360014,135.4858203,大阪市公文書館（おおさかしこうぶんしょかん）,EOF
34.67396103,135.4859692,大阪市立中央図書館（おおさかしりつちゅうおうとしょかん）,EOF
34.6853075,135.4746538,トンネルの路地（とんねるのろじ）,EOF
34.68428331,135.4725504,野田緑道（のだりょくどう）,EOF
34.68215847,135.4821821,日本聖公会川口基督教会（にほんせいこうかいかわぐちきりすときょうかい）,EOF
34.68352875,135.4801218,安治川（あじがわ）,EOF
34.68428258,135.4775919,大阪市中央卸売市場本場（おおさかしちゅうおうおろしうりしじょうほんじょう）,EOF
34.68731594,135.4547523,本宮鴉宮（ほんぐうからすのみや）,EOF
34.689499,135.4542477,澪標住吉神社（みおつくしすみよしじんじゃ）,EOF
34.68875853,135.4546108,旧鴻池本店・本宅（きゅうこうのいけほんてん・ほんたく）,EOF
34.688654,135.4753834,野田の長屋（のだのながや）,EOF
34.69352486,135.462478,下水道科学館（げすいどうかがくかん）,EOF
34.69139211,135.4731311,大阪市立福島図書館（おおさかしりつふくしまとしょかん）,EOF
34.68978819,135.4798416,春日神社（野田藤発祥の地）（かすがじんじゃ（のだふじはっしょうのち））,EOF
34.68837183,135.4791752,野田恵美須神社（のだえびすじんじゃ）,EOF
34.69061583,135.4845348,莫大小（メリヤス）会館（めりやすかいかん）,EOF
34.69398058,135.4888602,ほたるまち（）,EOF
34.69950289,135.4740117,樹齢200年のクスノキ（じゅれい200ねんのくすのき）,EOF
34.69887658,135.4708849,海老江八坂神社（えびえやさかじんじゃ）,EOF
34.69480964,135.4871186,福島天満宮（ふくしまてんまんぐう）,EOF
34.69513056,135.4848757,旧川崎貯蓄銀行福島出張所(ミナミビル）（きゅうかわさきちょちくぎんこうふくしましゅっちょうじょ）,EOF
34.69846964,135.4829259,聖天了徳院（しょうてんりょうとくいん）,EOF
34.69993125,135.4851364,日本基督教団　大阪福島教会（にほんきりすときょうだん　おおさかふくしまきょうかい）,EOF
34.71113311,135.4561112,大阪市立西淀川図書館（おおさかしりつにしよどがわとしょかん）,EOF
34.70976661,135.4665184,花川墓地（はなかわぼち）,EOF
34.71609717,135.4811526,大阪市立淀川図書館（おおさかしりつよどがわとしょかん）,EOF
34.65857789,135.4959688,大阪市立浪速図書館（おおさかしりつなにわとしょかん）,EOF
34.66113303,135.4986078,日本工芸館（にほんこうげいかん）,EOF
34.66434233,135.5020311,南海ビル（難波駅・島屋）（なんかいびる（なんばえき・たかしまや））,EOF
